"Muscle Group","Exercise"
"LEG","Front Squat"
"LEG","Goblet Squat"
"LEG","Hack Squat Machine"
"LEG","Half Air Squat"
"LEG","Hip Adduction Machine"
"LEG","Jumping Lunge"
"LEG","Landmine Hack Squat"
"LEG","Landmine Squat"
"LEG","Leg Curl On Ball"
"LEG","Leg Extension"
"LEG","Leg Press"
"LEG","Lying Leg Curl"
"LEG","Nordic Hamstring Eccentric"
"LEG","Pause Squat"
"LEG","Reverse Barbell Lunge"
"LEG","Romanian Deadlift"
"LEG","Safety Bar Squat"
"LEG","Seated Leg Curl"
"LEG","Shallow Body Weight Lunge"
"LEG","Side Lunges (Bodyweight)"
"LEG","Smith Machine Squat"
"LEG","Squat"
"LEG","Step Up"
"LEG","Zercher Squat"
"BACK","Assisted Chin-Up"
"BACK","Assisted Pull-Up"
"BACK","Back Extension"
"BACK","Banded Muscle-Up"
"BACK","Barbell Row"
"BACK","Barbell Shrug"
"BACK","Block Clean"
"BACK","Block Snatch"
"BACK","Cable Close Grip Seated Row"
"BACK","Cable Wide Grip Seated Row"
"BACK","Chin-Up"
"BACK","Clean"
"BACK","Clean and Jerk"
"BACK","Deadlift"
"BACK","Deficit Deadlift"
"BACK","Dumbbell Deadlift"
"BACK","Dumbbell Row"
"BACK","Dumbbell Shrug"
"BACK","Floor Back Extension"
"BACK","Good Morning"
"BACK","Hang Clean"
"BACK","Hang Power Clean"
"BACK","Hang Power Snatch"
"BACK","Hang Snatch"
"BACK","Inverted Row"
"BACK","Inverted Row with Underhand Grip"
"BACK","Jefferson Curl"
"BACK","Jumping Muscle-Up"
"BACK","Kettlebell Swing"
"BACK","Lat Pulldown With Pronated Grip"
"BACK","Lat Pulldown With Supinated Grip"
"BACK","Muscle-Up (Bar)"
"BACK","Muscle-Up (Rings)"
"BACK","One-Handed Cable Row"
"BACK","One-Handed Lat Pulldown"
"BACK","Pause Deadlift"
"BACK","Pendlay Row"
"BACK","Power Clean"
"BACK","Power Snatch"
"BACK","Pull-Up"
"BACK","Pull-Up With a Neutral Grip"
"BACK","Rack Pull"
"BACK","Ring Pull-Up"
"BACK","Ring Row"
"BACK","Seal Row"
"BACK","Seated Machine Row"
"BACK","Snatch"
"BACK","Snatch Grip Deadlift"
"BACK","Stiff-Legged Deadlift"
"BACK","Straight Arm Lat Pulldown"
"BACK","Sumo Deadlift"
"BACK","T-Bar Row"
"BACK","Trap Bar Deadlift With High Handles"
"BACK","Trap Bar Deadlift With Low Handles"
"GLUTE","Banded Side Kicks"
"GLUTE","Cable Pull Through"
"GLUTE","Clamshells"
"GLUTE","Dumbbell Romanian Deadlift"
"GLUTE","Dumbbell Frog Pumps"
"GLUTE","Fire Hydrants"
"GLUTE","Frog Pumps"
"GLUTE","Glute Bridge"
"GLUTE","Hip Abduction Against Band"
"GLUTE","Hip Abduction Machine"
"GLUTE","Hip Thrust"
"GLUTE","Hip Thrust Machine"
"GLUTE","Hip Thrust With Band Around Knees"
"GLUTE","Lateral Walk With Band"
"GLUTE","Machine Glute Kickbacks"
"GLUTE","One-Legged Glute Bridge"
"GLUTE","One-Legged Hip Thrust"
"GLUTE","Reverse Hyperextension"
"GLUTE","Romanian Deadlift"
"GLUTE","Single Leg Romanian Deadlift"
"GLUTE","Standing Glute Kickback in Machine"
"GLUTE","Step Up"
"AB","Ball Slams"
"AB","Cable Crunch"
"AB","Crunch"
"AB","Dead Bug"
"AB","Hanging Knee Raise"
"AB","Hanging Leg Raise"
"AB","Hanging Sit-Up"
"AB","High to Low Wood Chop with Band"
"AB","Horizontal Wood Chop with Band"
"AB","Kneeling Ab Wheel Roll-Out"
"AB","Kneeling Plank"
"AB","Kneeling Side Plank"
"AB","Lying Leg Raise"
"AB","Lying Windshield Wiper"
"AB","Lying Windshield Wiper with Bent Knees"
"AB","Machine Crunch"
"AB","Mountain Climbers"
"AB","Oblique Crunch"
"AB","Oblique Sit-Up"
"AB","Plank"
"AB","Plank with Leg Lifts"
"AB","Side Plank"
"AB","Sit-Up"
